"","mse","info","sd","r.wj.1","r.wj.2","r.wj.3","min.wj","max.wj","mean.wj","listnum"
"68",0.0100087620851763,7.06906814500917,4.8153166819151,0.863977524604224,0.828721047348137,0.8583058135374,0.828721047348137,0.863977524604224,0.850334795163254,"153"
"69",0.0100245793647583,7.07381511880008,4.78754150192412,0.84432829847049,0.842728757014953,0.842563062360294,0.842563062360294,0.84432829847049,0.843206705948579,"247"
"70",0.0100493705958514,7.0742872421903,4.83947998964791,0.857835675741247,0.847852085098472,0.857912830954931,0.847852085098472,0.857912830954931,0.854533530598217,"157"
"71",0.0100735679981693,7.06974762153936,4.78032500075713,0.852846274680835,0.844738096631511,0.863185893497449,0.844738096631511,0.863185893497449,0.853590088269932,"20"
"72",0.01008390768039,7.07771735349886,4.8435833246558,0.841027646595402,0.848066760847295,0.862821366927434,0.841027646595402,0.862821366927434,0.850638591456711,"197"
"73",0.0100942713048075,7.07063011045111,4.73306440371294,0.846131341528412,0.836956098274846,0.846452171967308,0.836956098274846,0.846452171967308,0.843179870590189,"160"
"74",0.0101627730834062,7.07729594316743,4.85156684744716,0.849822325290249,0.851689196668707,0.844268399412993,0.844268399412993,0.851689196668707,0.848593307123983,"241"
"75",0.0101861918710606,7.07341076305176,4.75273927340817,0.8519232878537,0.84766970914947,0.842141237300557,0.842141237300557,0.8519232878537,0.847244744767909,"117"
"76",0.0102044206479579,7.07668010725866,4.90735311353337,0.850168324118907,0.838447123207166,0.858588057740454,0.838447123207166,0.858588057740454,0.849067835022176,"9"
"77",0.0102410797530146,7.0765430857627,4.84404419818871,0.850949313426493,0.865165373639074,0.855627942989146,0.850949313426493,0.865165373639074,0.857247543351571,"112"
"78",0.0102531107302812,7.07461314163545,4.80210984578579,0.848474570935284,0.852382392529411,0.86160623747981,0.848474570935284,0.86160623747981,0.854154400314835,"200"
"79",0.0102869837061392,7.06985234348211,4.76194074985424,0.829367083368279,0.852428555306155,0.843653530313282,0.829367083368279,0.852428555306155,0.841816389662572,"17"
"80",0.0102874399197237,7.06960855836892,4.76462198792532,0.846711934545884,0.859214590709061,0.849404019388554,0.846711934545884,0.859214590709061,0.8517768482145,"28"
"81",0.0102903496309835,7.07028865433077,4.77080351611256,0.847572113269067,0.841010177179497,0.844341190081061,0.841010177179497,0.847572113269067,0.844307826843208,"78"
"82",0.0102933424429218,7.06902907197285,4.7950992624863,0.847800678962516,0.841618762465405,0.832776366863388,0.832776366863388,0.847800678962516,0.840731936097103,"174"
"83",0.0103286332411972,7.07968240966476,4.91579412942624,0.851738264667351,0.842355770691856,0.862769352644949,0.842355770691856,0.862769352644949,0.852287796001385,"111"
"84",0.0103666643288228,7.07506489060237,4.83847780518432,0.838874218582076,0.839257916903579,0.843706643547993,0.838874218582076,0.843706643547993,0.84061292634455,"154"
"85",0.0104243904576118,7.0734026237186,4.77760730912566,0.84476806525428,0.854212004825238,0.859540455268236,0.84476806525428,0.859540455268236,0.852840175115918,"7"
"86",0.0104263999650815,7.07758046660103,4.88656265835206,0.849400319979758,0.842960301989878,0.850410277073928,0.842960301989878,0.850410277073928,0.847590299681188,"52"
"87",0.0104558238093466,7.06880070472125,4.77225906832346,0.83598883906491,0.853683721110623,0.848760998190018,0.83598883906491,0.853683721110623,0.846144519455183,"226"
"88",0.010498409211452,7.06922670885669,4.69625236824887,0.848519845981986,0.870289055173381,0.849917226301287,0.848519845981986,0.870289055173381,0.856242042485551,"77"
"89",0.0105263728770726,7.07614222239295,4.87853136992252,0.860071464809595,0.856323134657923,0.849004620678584,0.849004620678584,0.860071464809595,0.855133073382034,"171"
"90",0.0105921751329346,7.07097770679229,4.83112270314691,0.853686932838698,0.856963844553174,0.852940564575662,0.852940564575662,0.856963844553174,0.854530447322511,"39"
"91",0.010597017296592,7.07316253420533,4.83357264673335,0.843141730481107,0.848507164319776,0.843123181549887,0.843123181549887,0.848507164319776,0.844924025450257,"41"
"92",0.0106029048647902,7.06879525205524,4.72331424555566,0.847381067017604,0.848404115660488,0.84412258893098,0.84412258893098,0.848404115660488,0.846635923869691,"152"
"93",0.0106121216390824,7.06756560402509,4.6850058248068,0.8368324772262,0.864656419934685,0.856570400554039,0.8368324772262,0.864656419934685,0.852686432571641,"232"
"94",0.0106237081897051,7.07144879658318,4.84072528846884,0.854427239731396,0.850436000573171,0.838145872032743,0.838145872032743,0.854427239731396,0.847669704112437,"130"
"95",0.010634344018048,7.06221715114523,4.59539304891264,0.856136290941848,0.852882028374182,0.831574348453362,0.831574348453362,0.856136290941848,0.846864222589797,"193"
"96",0.0106352977202083,7.07250798792761,4.78666806907328,0.860031894220059,0.845956760853958,0.850844501940277,0.845956760853958,0.860031894220059,0.852277719004765,"144"
"97",0.0106604702856374,7.07226523865148,4.82047548442791,0.848426608843388,0.858791975971503,0.856553051565028,0.848426608843388,0.858791975971503,0.854590545459973,"30"
"98",0.010667677307383,7.07018549393312,4.81660011063586,0.850723859939397,0.842293651203625,0.844326314027478,0.842293651203625,0.850723859939397,0.845781275056833,"158"
